# 031 PLAN-001 P1.2b mutgate spec (013 GATE-mutation-red-submission-precondition.md). GENERATED by
# p12b_mutgate_spec.py -- edit that, not this. fix_id <TAB> target_file <TAB> sed_expr <TAB> test_cmd.
# Run through p12b_mutgate.sh, never in a checkout anyone is using. Every test_cmd builds its own
# workspace from the throwaway's files (p12b_ws.sh / p12b_pkgroot.sh / p12b_core_check.sh), so the
# mutated file is what gets checked -- never the primary's through a tracked ailang.lock. No
# `cmd | grep -q` anywhere (pipefail/SIGPIPE).
# --- the registration boundary: re-inline one payload per package -> the gate rejects -> red
rg_inline	packages/motoko-ext-repetition-guard/register.ail	s/      ToolPolicy(policy),/      ToolPolicy(\\ctx call. policy(ctx, call)),/	bash .agent/projects/031_system_one_decisions/evidence/P1.2b/p12b_ws.sh gate repetition_guard
td_inline	packages/motoko-ext-test-dummy/register.ail	s/      PromptShaper(dummy_prompt),/      PromptShaper(\\ctx. dummy_prompt(ctx)),/	bash .agent/projects/031_system_one_decisions/evidence/P1.2b/p12b_ws.sh gate test_dummy
sp_inline	packages/motoko_scratchpad/register.ail	s/      DescribeTools(on_describe_tools),/      DescribeTools(\\c. on_describe_tools(c)),/	bash .agent/projects/031_system_one_decisions/evidence/P1.2b/p12b_ws.sh gate scratchpad
exa_inline	packages/motoko-ext-exa-search/register.ail	s/      PromptShaper(exa_prompt),/      PromptShaper(\\ctx. exa_prompt(ctx)),/	bash .agent/projects/031_system_one_decisions/evidence/P1.2b/p12b_ws.sh gate exa_search
cm_inline	packages/motoko-ext-context-mode/register.ail	s/      SolverJudge(ctx_finalize)/      SolverJudge(\\ctx c. ctx_finalize(ctx, c))/	bash .agent/projects/031_system_one_decisions/evidence/P1.2b/p12b_ws.sh gate context_mode
# the tree reading at HEAD + these paths: shape pass 11 of 18, binding rejections 18
tree	packages/motoko-ext-test-dummy/register.ail	s/      BudgetShaper(dummy_budget),/      BudgetShaper(\\ctx p. dummy_budget(ctx, p)),/	bash .agent/projects/031_system_one_decisions/evidence/P1.2b/p12b_ws.sh tree 11 18
# --- every value moved into config (Amendment 3): read it from a module value instead of ext_config -> the channel probe -> red
#     (each probe also runs the callback on an EMPTY config and requires the default, so a hard-wired value cannot pass)
rg_calls	packages/motoko-ext-repetition-guard/register.ail	s/decide_call_with_budget(ctx, call, call_budget_of(ctx\.ext_config))/decide_call_with_budget(ctx, call, 2)/	bash .agent/projects/031_system_one_decisions/evidence/P1.2b/p12b_ws.sh probe rg
rg_answers	packages/motoko-ext-repetition-guard/register.ail	s/candidate, answer_budget_of(ctx\.ext_config))/candidate, 1)/	bash .agent/projects/031_system_one_decisions/evidence/P1.2b/p12b_ws.sh probe rg
